freq	gain
2.640000000000000e+005	3.371150e-002
2.650000000000000e+005	3.385940e-002
2.660000000000000e+005	3.361410e-002
2.670000000000000e+005	3.333460e-002
2.680000000000000e+005	3.316790e-002
2.690000000000000e+005	3.301270e-002
2.700000000000000e+005	3.291970e-002
2.710000000000000e+005	3.275190e-002
2.720000000000000e+005	3.260860e-002
2.730000000000000e+005	3.249030e-002
2.740000000000000e+005	3.237620e-002
2.750000000000000e+005	3.238550e-002
2.760000000000000e+005	3.215340e-002
2.770000000000000e+005	3.200840e-002
2.780000000000000e+005	3.198050e-002
2.790000000000000e+005	3.175140e-002
2.800000000000000e+005	3.168380e-002
2.810000000000000e+005	3.156570e-002
2.820000000000000e+005	3.147460e-002
2.830000000000000e+005	3.134380e-002
2.840000000000000e+005	3.134600e-002
2.850000000000000e+005	3.121050e-002
2.860000000000000e+005	3.105110e-002
2.870000000000000e+005	3.104360e-002
2.880000000000000e+005	3.086690e-002
2.890000000000000e+005	3.077290e-002
2.900000000000000e+005	3.067860e-002
2.910000000000000e+005	3.059070e-002
2.920000000000000e+005	3.046890e-002
2.930000000000000e+005	3.030290e-002
2.940000000000000e+005	3.043650e-002
2.950000000000000e+005	3.020500e-002
2.960000000000000e+005	3.009610e-002
2.970000000000000e+005	3.003740e-002
2.980000000000000e+005	2.992430e-002
2.990000000000000e+005	2.991750e-002
3.000000000000000e+005	2.972490e-002
3.010000000000000e+005	2.966980e-002
